Intersection,Date,Hour,Period,Session_Type,Cars,Boda_bodas,Tricycles,Minibuses,Heavy_Trucks,TriHeadway,CarHeadway,VC
Wandegeya Junction,2026-06-02,16,Off-Peak,Day,449,421,2,71,6,3.1,2.77,0.61
Wandegeya Junction,2026-06-02,17,Peak,Day,769,921,27,58,13,2.85,1.97,1.24
Wandegeya Junction,2026-06-02,17,Peak,Day,781,837,24,95,3,2.67,2.65,1.2
Wandegeya Junction,2026-06-02,17,Peak,Day,734,738,33,79,9,3.92,2.07,1.12
Wandegeya Junction,2026-06-02,17,Peak,Day,790,771,31,81,6,3.47,2.31,1.15
Wandegeya Junction,2026-06-02,18,Peak,Day,750,799,20,64,10,3.63,2.69,1.08
Wandegeya Junction,2026-06-02,18,Peak,Day,725,890,12,65,6,3.69,2.4,1.19
Wandegeya Junction,2026-06-02,18,Peak,Day,799,912,21,89,8,2.88,2.71,1.22
Wandegeya Junction,2026-06-02,18,Peak,Day,798,868,29,59,11,3.11,2.6,1.17
Kibuye Roundabout,2026-06-02,7,Peak,Day,945,965,45,78,9,3.14,3.22,1.35
Kibuye Roundabout,2026-06-02,7,Peak,Day,854,968,31,86,10,3.02,2.06,1.31
Kibuye Roundabout,2026-06-02,7,Peak,Day,864,959,32,101,8,2.75,2.35,1.35
Kibuye Roundabout,2026-06-02,7,Peak,Day,866,929,34,80,3,3.75,2.73,1.3
Kibuye Roundabout,2026-06-02,8,Peak,Day,931,1046,36,82,11,3.55,2.29,1.35
Kibuye Roundabout,2026-06-02,8,Peak,Day,968,1027,15,79,11,3.83,2.75,1.35
Kibuye Roundabout,2026-06-02,8,Peak,Day,882,1094,38,93,7,2.41,2.66,1.35
Kibuye Roundabout,2026-06-02,8,Peak,Day,882,985,24,103,7,3.03,1.82,1.35
Kibuye Roundabout,2026-06-02,9,Off-Peak,Day,443,443,5,53,6,3.86,3.08,0.68
Kibuye Roundabout,2026-06-02,9,Off-Peak,Day,353,433,11,63,3,3.47,2.48,0.55
Kibuye Roundabout,2026-06-02,9,Off-Peak,Day,373,440,14,48,8,2.38,2.13,0.66
Kibuye Roundabout,2026-06-02,9,Off-Peak,Day,377,446,2,42,3,3.4,2.53,0.55
Kibuye Roundabout,2026-06-02,10,Off-Peak,Day,386,405,7,53,10,2.65,2.83,0.66
Kibuye Roundabout,2026-06-02,10,Off-Peak,Day,339,460,19,75,2,3.81,2.61,0.57
Kibuye Roundabout,2026-06-02,10,Off-Peak,Day,391,443,17,41,8,3.19,2.48,0.68
Kibuye Roundabout,2026-06-02,10,Off-Peak,Day,397,450,2,56,9,3.58,2.09,0.61
Kibuye Roundabout,2026-06-02,11,Off-Peak,Day,353,414,12,49,5,3.08,1.86,0.62
Kibuye Roundabout,2026-06-02,11,Off-Peak,Day,408,353,26,62,3,3.45,2.41,0.6
Kibuye Roundabout,2026-06-02,11,Off-Peak,Day,335,368,6,44,5,3.64,3.09,0.49
Kibuye Roundabout,2026-06-02,11,Off-Peak,Day,368,424,7,59,5,3.54,2.0,0.63
Kibuye Roundabout,2026-06-02,12,Off-Peak,Day,331,306,17,45,6,3.84,3.45,0.48
Kibuye Roundabout,2026-06-02,12,Off-Peak,Day,251,349,4,53,3,2.63,2.78,0.53
Kibuye Roundabout,2026-06-02,12,Off-Peak,Day,360,417,5,35,2,3.11,2.48,0.61
Kibuye Roundabout,2026-06-02,12,Off-Peak,Day,232,336,10,36,3,2.67,2.83,0.5
Kibuye Roundabout,2026-06-02,13,Off-Peak,Day,304,385,8,51,6,3.13,2.26,0.57
Kibuye Roundabout,2026-06-02,13,Off-Peak,Day,285,471,2,62,0,3.54,2.72,0.5
Kibuye Roundabout,2026-06-02,13,Off-Peak,Day,305,348,15,51,4,3.19,2.16,0.39
Kibuye Roundabout,2026-06-02,13,Off-Peak,Day,418,368,12,43,7,3.51,2.74,0.61
Kibuye Roundabout,2026-06-02,14,Off-Peak,Day,280,378,27,36,6,3.09,2.38,0.46
Kibuye Roundabout,2026-06-02,14,Off-Peak,Day,352,310,19,48,2,3.19,2.38,0.44
Kibuye Roundabout,2026-06-02,14,Off-Peak,Day,335,304,30,41,7,2.51,1.75,0.6
Kibuye Roundabout,2026-06-02,14,Off-Peak,Day,333,325,26,54,0,3.46,2.87,0.51
Kibuye Roundabout,2026-06-02,15,Off-Peak,Day,317,316,2,50,2,2.8,2.76,0.45
Kibuye Roundabout,2026-06-02,15,Off-Peak,Day,305,354,17,29,3,4.61,2.06,0.49
Kibuye Roundabout,2026-06-02,15,Off-Peak,Day,349,364,22,68,5,3.27,2.99,0.58
Kibuye Roundabout,2026-06-02,15,Off-Peak,Day,292,300,19,44,2,3.92,2.32,0.45
Kibuye Roundabout,2026-06-02,16,Off-Peak,Day,442,528,15,39,4,3.9,2.3,0.72
Kibuye Roundabout,2026-06-02,16,Off-Peak,Day,461,469,2,51,4,3.0,1.62,0.67
Kibuye Roundabout,2026-06-02,16,Off-Peak,Day,484,521,22,52,5,3.6,2.77,0.75
Kibuye Roundabout,2026-06-02,16,Off-Peak,Day,442,513,9,83,8,3.34,3.06,0.77
Kibuye Roundabout,2026-06-02,17,Peak,Day,812,1004,32,89,6,3.45,2.69,1.32
Kibuye Roundabout,2026-06-02,17,Peak,Day,853,1016,31,94,8,2.78,2.66,1.35
Kibuye Roundabout,2026-06-02,17,Peak,Day,835,914,43,73,4,3.11,1.94,1.25
Kibuye Roundabout,2026-06-02,17,Peak,Day,874,912,29,99,9,2.97,2.84,1.35
Kibuye Roundabout,2026-06-02,18,Peak,Day,874,955,20,88,4,3.6,2.12,1.29
Kibuye Roundabout,2026-06-02,18,Peak,Day,795,982,33,66,9,2.95,2.73,1.33
Kibuye Roundabout,2026-06-02,18,Peak,Day,824,908,31,58,9,3.35,2.39,1.18
Kibuye Roundabout,2026-06-02,18,Peak,Day,832,935,34,90,9,3.53,1.89,1.33
Bakuli Intersection,2026-06-02,7,Peak,Day,701,724,29,69,7,3.47,3.07,1.05
Bakuli Intersection,2026-06-02,7,Peak,Day,634,790,32,88,9,4.31,2.91,1.13
Bakuli Intersection,2026-06-02,7,Peak,Day,716,771,25,73,7,2.89,3.11,1.18
Bakuli Intersection,2026-06-02,7,Peak,Day,631,780,27,47,9,3.0,2.55,1.07
Bakuli Intersection,2026-06-02,8,Peak,Day,738,808,42,98,14,3.81,3.04,1.17
Bakuli Intersection,2026-06-02,8,Peak,Day,739,899,20,101,10,4.29,2.29,1.18
Bakuli Intersection,2026-06-02,8,Peak,Day,767,912,23,91,10,3.32,2.72,1.27
Bakuli Intersection,2026-06-02,8,Peak,Day,745,860,6,67,10,4.18,3.13,1.15
Bakuli Intersection,2026-06-02,9,Off-Peak,Day,354,402,8,48,6,2.73,2.75,0.53
Bakuli Intersection,2026-06-02,9,Off-Peak,Day,331,440,17,46,6,3.28,2.68,0.62
Bakuli Intersection,2026-06-02,9,Off-Peak,Day,353,396,8,45,5,3.05,2.39,0.48
Bakuli Intersection,2026-06-02,9,Off-Peak,Day,351,402,10,59,8,2.7,2.08,0.54
Bakuli Intersection,2026-06-02,10,Off-Peak,Day,329,353,8,35,4,3.6,2.28,0.51
Bakuli Intersection,2026-06-02,10,Off-Peak,Day,309,383,8,41,7,3.12,2.62,0.43
Bakuli Intersection,2026-06-02,10,Off-Peak,Day,436,398,13,39,5,3.26,2.17,0.53
Bakuli Intersection,2026-06-02,10,Off-Peak,Day,322,380,19,43,10,4.22,2.83,0.52
Bakuli Intersection,2026-06-02,11,Off-Peak,Day,336,380,15,25,4,3.28,1.94,0.57
Bakuli Intersection,2026-06-02,11,Off-Peak,Day,383,414,10,47,8,2.45,2.13,0.58
Bakuli Intersection,2026-06-02,11,Off-Peak,Day,314,354,23,45,11,4.41,2.44,0.6
Bakuli Intersection,2026-06-02,11,Off-Peak,Day,270,423,13,34,6,3.01,2.17,0.46
Bakuli Intersection,2026-06-02,12,Off-Peak,Day,251,281,4,50,1,3.91,2.29,0.42
Bakuli Intersection,2026-06-02,12,Off-Peak,Day,261,350,3,42,2,2.75,2.77,0.48
Bakuli Intersection,2026-06-02,12,Off-Peak,Day,259,270,12,29,6,2.98,2.68,0.46
Bakuli Intersection,2026-06-02,12,Off-Peak,Day,249,302,2,29,1,3.45,2.43,0.37
Bakuli Intersection,2026-06-02,13,Off-Peak,Day,208,293,2,47,0,3.04,3.06,0.35
Bakuli Intersection,2026-06-02,13,Off-Peak,Day,296,323,6,16,7,3.55,4.07,0.46
Bakuli Intersection,2026-06-02,13,Off-Peak,Day,343,306,2,45,4,3.02,2.63,0.46
Bakuli Intersection,2026-06-02,13,Off-Peak,Day,308,301,2,28,3,3.03,2.64,0.51
Bakuli Intersection,2026-06-02,14,Off-Peak,Day,314,351,4,65,4,3.35,3.02,0.54
Bakuli Intersection,2026-06-02,14,Off-Peak,Day,314,316,4,42,5,3.24,2.59,0.48
Bakuli Intersection,2026-06-02,14,Off-Peak,Day,322,358,22,37,2,3.74,3.09,0.56
Bakuli Intersection,2026-06-02,14,Off-Peak,Day,279,258,5,38,7,3.62,2.42,0.38
Bakuli Intersection,2026-06-02,15,Off-Peak,Day,242,321,12,6,4,3.9,2.81,0.32
Bakuli Intersection,2026-06-02,15,Off-Peak,Day,335,280,13,63,7,3.87,2.06,0.47
Bakuli Intersection,2026-06-02,15,Off-Peak,Day,261,296,3,29,8,3.48,2.27,0.4
Bakuli Intersection,2026-06-02,15,Off-Peak,Day,292,241,2,41,0,3.76,2.54,0.5
Bakuli Intersection,2026-06-02,16,Off-Peak,Day,366,467,23,61,7,3.67,2.62,0.7
Bakuli Intersection,2026-06-02,16,Off-Peak,Day,362,440,2,60,3,4.06,2.74,0.72
Bakuli Intersection,2026-06-02,16,Off-Peak,Day,388,407,14,60,7,3.47,2.44,0.54
Bakuli Intersection,2026-06-02,16,Off-Peak,Day,365,428,2,82,8,3.54,1.88,0.54
Bakuli Intersection,2026-06-02,17,Peak,Day,668,767,32,89,4,3.01,2.92,1.01
Bakuli Intersection,2026-06-02,17,Peak,Day,586,752,11,80,11,3.09,2.96,0.97
Bakuli Intersection,2026-06-02,17,Peak,Day,671,778,9,78,6,2.06,2.24,1.07
Bakuli Intersection,2026-06-02,17,Peak,Day,650,773,27,78,7,2.82,2.42,1.07
Bakuli Intersection,2026-06-02,18,Peak,Day,690,747,28,76,10,3.88,2.37,0.97
Bakuli Intersection,2026-06-02,18,Peak,Day,727,716,27,64,7,4.17,2.16,1.02
Bakuli Intersection,2026-06-02,18,Peak,Day,692,722,19,68,9,3.25,2.29,1.02
Bakuli Intersection,2026-06-02,18,Peak,Day,696,841,11,73,8,2.67,3.18,1.16
Bwaise Junction,2026-06-02,7,Peak,Day,698,692,24,93,10,3.42,2.4,1.07
Bwaise Junction,2026-06-02,7,Peak,Day,646,643,32,57,7,3.27,2.99,0.97
Bwaise Junction,2026-06-02,7,Peak,Day,646,648,6,80,7,2.87,3.01,0.98
Bwaise Junction,2026-06-02,7,Peak,Day,661,716,30,78,5,4.12,2.93,1.07
Bwaise Junction,2026-06-02,8,Peak,Day,725,750,19,86,10,2.72,2.39,1.0
Bwaise Junction,2026-06-02,8,Peak,Day,670,817,22,82,8,3.82,3.16,1.06
Bwaise Junction,2026-06-02,8,Peak,Day,691,821,21,74,8,2.35,3.03,1.15
Bwaise Junction,2026-06-02,8,Peak,Day,698,798,25,78,3,3.32,2.68,1.18
Bwaise Junction,2026-06-02,9,Off-Peak,Day,316,414,19,49,8,3.25,2.26,0.45
Bwaise Junction,2026-06-02,9,Off-Peak,Day,368,367,15,44,5,3.72,2.35,0.51
Bwaise Junction,2026-06-02,9,Off-Peak,Day,338,354,2,33,2,3.96,2.63,0.51
Bwaise Junction,2026-06-02,9,Off-Peak,Day,367,377,7,44,2,3.11,2.56,0.46
Bwaise Junction,2026-06-02,10,Off-Peak,Day,319,338,10,57,1,2.8,2.2,0.54
Bwaise Junction,2026-06-02,10,Off-Peak,Day,316,415,2,56,8,2.75,2.37,0.58
Bwaise Junction,2026-06-02,10,Off-Peak,Day,380,328,5,60,8,3.1,2.78,0.63
Bwaise Junction,2026-06-02,10,Off-Peak,Day,312,314,29,27,7,3.11,2.67,0.38
Bwaise Junction,2026-06-02,11,Off-Peak,Day,331,365,12,62,2,2.91,2.83,0.5
Bwaise Junction,2026-06-02,11,Off-Peak,Day,332,403,18,33,10,3.67,3.21,0.63
Bwaise Junction,2026-06-02,11,Off-Peak,Day,298,326,2,56,2,3.99,2.78,0.51
Bwaise Junction,2026-06-02,11,Off-Peak,Day,282,322,13,62,7,3.09,1.69,0.47
Bwaise Junction,2026-06-02,12,Off-Peak,Day,330,245,2,41,7,3.39,2.88,0.37
Bwaise Junction,2026-06-02,12,Off-Peak,Day,364,230,9,52,3,3.52,2.21,0.49
Bwaise Junction,2026-06-02,12,Off-Peak,Day,198,321,11,43,6,3.48,2.56,0.45
Bwaise Junction,2026-06-02,12,Off-Peak,Day,239,344,2,56,3,2.85,2.97,0.45
Bwaise Junction,2026-06-02,13,Off-Peak,Day,344,275,14,36,5,3.19,2.15,0.5
Bwaise Junction,2026-06-02,13,Off-Peak,Day,301,274,16,57,8,3.34,2.72,0.46
Bwaise Junction,2026-06-02,13,Off-Peak,Day,277,224,2,51,0,3.13,2.42,0.46
Bwaise Junction,2026-06-02,13,Off-Peak,Day,266,367,4,11,8,2.7,2.07,0.47
Bwaise Junction,2026-06-02,14,Off-Peak,Day,248,270,23,55,5,3.41,2.09,0.37
Bwaise Junction,2026-06-02,14,Off-Peak,Day,318,338,18,46,10,2.71,2.68,0.5
Bwaise Junction,2026-06-02,14,Off-Peak,Day,246,302,26,47,4,3.86,3.43,0.38
Bwaise Junction,2026-06-02,14,Off-Peak,Day,249,254,11,45,8,3.3,2.26,0.41
Bwaise Junction,2026-06-02,15,Off-Peak,Day,305,347,2,22,9,4.0,1.96,0.5
Bwaise Junction,2026-06-02,15,Off-Peak,Day,271,331,2,63,6,2.79,2.99,0.45
Bwaise Junction,2026-06-02,15,Off-Peak,Day,333,299,2,60,6,3.04,2.36,0.48
Bwaise Junction,2026-06-02,15,Off-Peak,Day,279,287,13,39,4,3.53,2.11,0.32
Bwaise Junction,2026-06-02,16,Off-Peak,Day,328,363,4,41,4,3.04,2.57,0.61
Bwaise Junction,2026-06-02,16,Off-Peak,Day,391,432,16,43,10,2.46,2.09,0.71
Bwaise Junction,2026-06-02,16,Off-Peak,Day,353,455,11,49,13,3.41,2.91,0.67
Bwaise Junction,2026-06-02,16,Off-Peak,Day,367,402,22,59,9,2.51,2.18,0.6
Bwaise Junction,2026-06-02,17,Peak,Day,643,805,22,55,9,4.44,2.34,1.13
Bwaise Junction,2026-06-02,17,Peak,Day,666,734,26,70,9,3.64,2.55,0.91
Bwaise Junction,2026-06-02,17,Peak,Day,717,699,20,66,14,3.02,2.44,1.0
Bwaise Junction,2026-06-02,17,Peak,Day,653,675,29,65,6,3.51,2.67,0.98
Bwaise Junction,2026-06-02,18,Peak,Day,683,737,8,88,9,3.53,3.04,1.11
Bwaise Junction,2026-06-02,18,Peak,Day,642,817,26,82,9,2.66,2.62,1.02
Bwaise Junction,2026-06-02,18,Peak,Day,624,732,23,90,10,3.24,2.18,0.96
Bwaise Junction,2026-06-02,18,Peak,Day,631,707,19,56,7,1.84,3.32,0.95
Natete Junction,2026-06-02,7,Peak,Day,780,893,36,65,13,3.38,2.91,1.33
Natete Junction,2026-06-02,7,Peak,Day,747,876,29,80,6,3.25,2.47,1.19
Natete Junction,2026-06-02,7,Peak,Day,756,864,28,63,11,3.88,3.05,1.08
Natete Junction,2026-06-02,7,Peak,Day,702,878,25,78,5,4.07,2.77,1.14
Natete Junction,2026-06-02,8,Peak,Day,826,979,23,85,10,3.56,3.27,1.3
Natete Junction,2026-06-02,8,Peak,Day,880,984,37,83,12,3.32,2.52,1.35
Natete Junction,2026-06-02,8,Peak,Day,833,1005,26,87,10,3.91,2.15,1.33
Natete Junction,2026-06-02,8,Peak,Day,820,1009,44,93,6,3.94,1.61,1.35
Natete Junction,2026-06-02,9,Off-Peak,Day,304,402,17,78,4,3.2,3.33,0.5
Natete Junction,2026-06-02,9,Off-Peak,Day,355,500,2,81,5,4.35,3.14,0.59
Natete Junction,2026-06-02,9,Off-Peak,Day,363,439,19,56,6,3.74,2.07,0.68
Natete Junction,2026-06-02,9,Off-Peak,Day,402,468,24,76,2,3.03,1.87,0.67
Natete Junction,2026-06-02,10,Off-Peak,Day,460,345,15,55,7,3.24,1.98,0.61
Natete Junction,2026-06-02,10,Off-Peak,Day,345,331,14,70,8,3.41,2.93,0.53
Natete Junction,2026-06-02,10,Off-Peak,Day,404,407,14,71,6,2.66,2.61,0.63
Natete Junction,2026-06-02,10,Off-Peak,Day,350,386,6,43,12,4.26,2.01,0.62
Natete Junction,2026-06-02,11,Off-Peak,Day,307,369,12,41,9,3.83,2.74,0.49
Natete Junction,2026-06-02,11,Off-Peak,Day,301,447,30,66,2,3.47,2.41,0.63
Natete Junction,2026-06-02,11,Off-Peak,Day,327,478,5,52,7,2.91,2.93,0.56
Natete Junction,2026-06-02,11,Off-Peak,Day,338,398,2,54,4,3.65,2.79,0.57
Natete Junction,2026-06-02,12,Off-Peak,Day,284,378,2,54,0,2.31,2.52,0.51
Natete Junction,2026-06-02,12,Off-Peak,Day,260,297,25,53,0,3.6,2.25,0.41
Natete Junction,2026-06-02,12,Off-Peak,Day,320,347,8,47,3,3.24,2.68,0.52
Natete Junction,2026-06-02,12,Off-Peak,Day,287,291,6,43,2,3.43,2.59,0.38
Natete Junction,2026-06-02,13,Off-Peak,Day,292,362,17,52,6,3.37,2.65,0.46
Natete Junction,2026-06-02,13,Off-Peak,Day,234,352,10,72,3,3.49,2.62,0.43
Natete Junction,2026-06-02,13,Off-Peak,Day,263,375,20,53,4,3.81,2.85,0.51
Natete Junction,2026-06-02,13,Off-Peak,Day,336,343,2,47,4,3.9,2.47,0.5
Natete Junction,2026-06-02,14,Off-Peak,Day,299,359,2,61,6,4.54,2.61,0.46
Natete Junction,2026-06-02,14,Off-Peak,Day,308,374,21,57,8,3.74,2.37,0.58
Natete Junction,2026-06-02,14,Off-Peak,Day,325,390,6,44,7,2.84,2.17,0.61
Natete Junction,2026-06-02,14,Off-Peak,Day,324,331,9,63,6,2.58,1.97,0.51
Natete Junction,2026-06-02,15,Off-Peak,Day,233,386,13,44,14,3.21,2.46,0.59
Natete Junction,2026-06-02,15,Off-Peak,Day,367,280,18,24,2,3.55,2.93,0.51
Natete Junction,2026-06-02,15,Off-Peak,Day,226,380,2,36,0,3.7,2.45,0.45
Natete Junction,2026-06-02,15,Off-Peak,Day,302,331,7,30,2,3.46,2.57,0.49
Natete Junction,2026-06-02,16,Off-Peak,Day,424,398,7,66,10,3.01,2.63,0.55
Natete Junction,2026-06-02,16,Off-Peak,Day,415,457,25,41,6,3.44,2.49,0.75
Natete Junction,2026-06-02,16,Off-Peak,Day,430,452,17,74,7,2.81,3.02,0.68
Natete Junction,2026-06-02,16,Off-Peak,Day,411,525,20,58,4,2.41,2.69,0.66
Natete Junction,2026-06-02,17,Peak,Day,756,816,13,78,7,2.78,2.03,1.14
Natete Junction,2026-06-02,17,Peak,Day,780,912,31,69,8,3.59,2.34,1.31
Natete Junction,2026-06-02,17,Peak,Day,791,899,30,76,7,2.8,2.09,1.25
Natete Junction,2026-06-02,17,Peak,Day,743,850,16,81,5,3.32,1.71,1.19
Natete Junction,2026-06-02,18,Peak,Day,827,859,33,84,5,2.67,1.78,1.25
Natete Junction,2026-06-02,18,Peak,Day,795,883,24,65,6,3.28,2.57,1.24
Natete Junction,2026-06-02,18,Peak,Day,840,852,22,85,11,3.2,2.29,1.27
Natete Junction,2026-06-02,18,Peak,Day,749,860,36,75,11,2.82,2.38,1.21
Wandegeya Junction,2026-06-03,7,Peak,Day,719,875,21,60,12,3.85,2.31,1.2
Wandegeya Junction,2026-06-03,7,Peak,Day,693,815,24,82,11,3.12,2.44,1.07
Wandegeya Junction,2026-06-03,7,Peak,Day,764,807,14,74,6,3.3,2.41,1.11
Wandegeya Junction,2026-06-03,7,Peak,Day,718,849,23,96,8,2.6,2.56,1.22
Wandegeya Junction,2026-06-03,8,Peak,Day,774,900,20,99,11,2.53,2.42,1.26
Wandegeya Junction,2026-06-03,8,Peak,Day,832,856,31,74,8,2.2,2.44,1.27
Wandegeya Junction,2026-06-03,8,Peak,Day,856,957,30,92,6,3.1,2.9,1.24
Wandegeya Junction,2026-06-03,8,Peak,Day,851,946,40,90,7,4.13,2.12,1.33
Wandegeya Junction,2026-06-03,9,Off-Peak,Day,368,480,26,40,7,2.59,2.59,0.6
Wandegeya Junction,2026-06-03,9,Off-Peak,Day,350,367,21,55,5,3.77,2.48,0.58
Wandegeya Junction,2026-06-03,9,Off-Peak,Day,387,413,28,37,5,3.78,2.68,0.58
Wandegeya Junction,2026-06-03,9,Off-Peak,Day,386,454,3,75,8,3.33,2.66,0.68
Wandegeya Junction,2026-06-03,10,Off-Peak,Day,314,392,22,44,6,3.0,1.54,0.6
Wandegeya Junction,2026-06-03,10,Off-Peak,Day,392,427,9,59,4,3.56,2.17,0.55
Wandegeya Junction,2026-06-03,10,Off-Peak,Day,380,382,30,46,5,3.86,2.57,0.57
Wandegeya Junction,2026-06-03,10,Off-Peak,Day,427,408,6,63,3,3.46,1.74,0.64
Wandegeya Junction,2026-06-03,11,Off-Peak,Day,387,368,28,38,6,3.48,2.58,0.57
Wandegeya Junction,2026-06-03,11,Off-Peak,Day,392,407,16,38,9,4.88,2.05,0.68
Wandegeya Junction,2026-06-03,11,Off-Peak,Day,269,406,13,44,11,2.46,2.31,0.47
Wandegeya Junction,2026-06-03,11,Off-Peak,Day,368,302,2,51,0,4.12,2.64,0.48
Wandegeya Junction,2026-06-03,12,Off-Peak,Day,283,321,3,48,0,1.95,2.25,0.48
Wandegeya Junction,2026-06-03,12,Off-Peak,Day,307,321,6,25,1,3.26,2.27,0.47
Wandegeya Junction,2026-06-03,12,Off-Peak,Day,309,299,6,41,11,2.37,2.81,0.39
Wandegeya Junction,2026-06-03,12,Off-Peak,Day,273,289,4,39,9,3.73,1.93,0.46
Wandegeya Junction,2026-06-03,13,Off-Peak,Day,199,303,2,56,6,3.29,2.22,0.38
Wandegeya Junction,2026-06-03,13,Off-Peak,Day,325,271,12,48,7,3.65,3.63,0.44
Wandegeya Junction,2026-06-03,13,Off-Peak,Day,312,306,9,46,6,2.79,2.58,0.48
Wandegeya Junction,2026-06-03,13,Off-Peak,Day,314,374,22,41,6,2.82,2.63,0.54
Wandegeya Junction,2026-06-03,14,Off-Peak,Day,281,349,2,49,1,3.59,2.22,0.52
Wandegeya Junction,2026-06-03,14,Off-Peak,Day,298,324,2,46,3,3.11,2.38,0.36
Wandegeya Junction,2026-06-03,14,Off-Peak,Day,279,409,15,22,8,3.73,2.53,0.49
Wandegeya Junction,2026-06-03,14,Off-Peak,Day,290,298,19,62,4,3.92,2.09,0.48
Wandegeya Junction,2026-06-03,15,Off-Peak,Day,277,330,15,45,0,3.98,2.85,0.42
Wandegeya Junction,2026-06-03,15,Off-Peak,Day,306,323,9,61,4,3.87,2.19,0.5
Wandegeya Junction,2026-06-03,15,Off-Peak,Day,244,400,22,40,3,3.07,2.08,0.39
Wandegeya Junction,2026-06-03,15,Off-Peak,Day,293,374,5,47,5,2.86,3.22,0.44
Wandegeya Junction,2026-06-03,16,Off-Peak,Day,475,460,8,62,9,3.24,2.34,0.76
Wandegeya Junction,2026-06-03,16,Off-Peak,Day,429,505,14,62,8,3.49,2.62,0.78
Wandegeya Junction,2026-06-03,16,Off-Peak,Day,325,485,2,61,5,3.27,2.95,0.62
Wandegeya Junction,2026-06-03,16,Off-Peak,Day,391,509,15,60,8,2.98,2.53,0.65
Wandegeya Junction,2026-06-03,17,Peak,Day,766,832,26,55,6,3.15,2.4,1.2
Wandegeya Junction,2026-06-03,17,Peak,Day,724,781,34,75,6,3.21,2.7,1.07
Wandegeya Junction,2026-06-03,17,Peak,Day,759,915,26,73,8,2.88,2.27,1.2
Wandegeya Junction,2026-06-03,17,Peak,Day,761,936,22,68,6,3.5,2.61,1.23
Wandegeya Junction,2026-06-03,18,Peak,Day,664,747,36,71,11,1.8,2.73,0.98
Wandegeya Junction,2026-06-03,18,Peak,Day,711,803,28,65,8,3.55,1.36,1.08
Wandegeya Junction,2026-06-03,18,Peak,Day,709,832,19,71,10,3.32,2.72,1.04
Wandegeya Junction,2026-06-03,18,Peak,Day,732,855,41,55,0,3.3,2.97,1.2
Kibuye Roundabout,2026-06-03,7,Peak,Day,855,1016,18,86,8,2.51,3.04,1.35
Kibuye Roundabout,2026-06-03,7,Peak,Day,854,879,24,66,12,4.03,2.47,1.25
Kibuye Roundabout,2026-06-03,7,Peak,Day,868,918,14,89,8,3.38,3.38,1.23
Kibuye Roundabout,2026-06-03,7,Peak,Day,834,984,33,83,8,3.42,2.91,1.28
Kibuye Roundabout,2026-06-03,8,Peak,Day,979,1042,25,79,11,3.68,2.38,1.35
Kibuye Roundabout,2026-06-03,8,Peak,Day,947,1057,32,66,5,3.23,2.29,1.35
Kibuye Roundabout,2026-06-03,8,Peak,Day,892,965,21,88,7,3.27,2.65,1.31
Kibuye Roundabout,2026-06-03,8,Peak,Day,877,1092,49,101,6,3.07,2.57,1.35
Kibuye Roundabout,2026-06-03,9,Off-Peak,Day,421,470,26,54,1,3.9,1.89,0.66
Kibuye Roundabout,2026-06-03,9,Off-Peak,Day,404,410,5,50,4,2.81,2.78,0.53
Kibuye Roundabout,2026-06-03,9,Off-Peak,Day,344,424,3,68,5,3.32,1.8,0.56
Kibuye Roundabout,2026-06-03,9,Off-Peak,Day,413,433,17,72,2,3.38,2.37,0.7
Kibuye Roundabout,2026-06-03,10,Off-Peak,Day,376,476,13,44,3,3.0,2.86,0.68
Kibuye Roundabout,2026-06-03,10,Off-Peak,Day,365,454,26,43,7,3.54,2.24,0.63
Kibuye Roundabout,2026-06-03,10,Off-Peak,Day,397,344,2,53,8,4.27,2.91,0.56
Kibuye Roundabout,2026-06-03,10,Off-Peak,Day,380,425,8,38,2,2.28,2.52,0.56
Kibuye Roundabout,2026-06-03,11,Off-Peak,Day,301,421,10,62,6,3.6,2.77,0.54
Kibuye Roundabout,2026-06-03,11,Off-Peak,Day,331,416,15,68,3,3.04,2.51,0.68
Kibuye Roundabout,2026-06-03,11,Off-Peak,Day,367,335,7,47,2,3.8,2.76,0.53
Kibuye Roundabout,2026-06-03,11,Off-Peak,Day,431,416,2,44,5,2.97,2.58,0.63
Kibuye Roundabout,2026-06-03,12,Off-Peak,Day,285,310,5,27,4,3.56,2.83,0.46
Kibuye Roundabout,2026-06-03,12,Off-Peak,Day,281,371,13,28,1,3.84,2.88,0.43
Kibuye Roundabout,2026-06-03,12,Off-Peak,Day,337,302,14,49,4,3.24,2.35,0.53
Kibuye Roundabout,2026-06-03,12,Off-Peak,Day,330,310,14,44,1,3.4,2.74,0.36
Kibuye Roundabout,2026-06-03,13,Off-Peak,Day,245,339,13,20,8,3.93,2.88,0.38
Kibuye Roundabout,2026-06-03,13,Off-Peak,Day,274,367,3,36,5,2.41,1.61,0.45
Kibuye Roundabout,2026-06-03,13,Off-Peak,Day,294,331,12,55,8,3.13,2.7,0.47
Kibuye Roundabout,2026-06-03,13,Off-Peak,Day,321,375,2,55,0,2.86,2.54,0.48
Kibuye Roundabout,2026-06-03,14,Off-Peak,Day,372,340,15,42,8,3.93,2.62,0.55
Kibuye Roundabout,2026-06-03,14,Off-Peak,Day,273,297,2,55,8,3.72,2.97,0.53
Kibuye Roundabout,2026-06-03,14,Off-Peak,Day,279,394,6,53,5,3.46,3.01,0.53
